Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
BMW,,11 000 PLN,Kostrzyn,Wielkopolskie,Niski przebieg,2003,1 200 cm3,89 753 km
Yamaha,X-max,15 000 PLN,Zgierz,Łódzkie,Niski przebieg,2016,125 cm3,7 800 km
Harley-Davidson,Softail Breakout,108 000 PLN,Kutno,Łódzkie,2016,2 100 km,Benzyna,1 801 cm3
KTM,,19 500 PLN,Garwolin,Mazowieckie,2010,100 km,Benzyna,580 cm3
Yamaha,X-max,16 000 PLN,Gołańcz,Wielkopolskie,2018,20 000 km,Benzyna,125 cm3
Junak,125 Racer,6 400 PLN,Kraków,Małopolskie,2016,2 037 km,Benzyna,124 cm3
Benelli,TRK 502,20 700 PLN,Janów,Łódzkie,2018,9 345 km,Benzyna,500 cm3
BMW,R,57 900 PLN,Bolków,Dolnośląskie,Niski przebieg,2014,1 200 cm3,51 600 km
Husqvarna,TC,42 990 PLN,Lublin,Lubelskie,2022,1 km,Benzyna,125 cm3
Kymco,Xciting,12 999 PLN,Paczków,Opolskie,2017,26 400 km,Benzyna,400 cm3
BMW,R,74 000 PLN,Ostrów Wielkopolski,Wielkopolskie,1967,30 000 km,Benzyna,600 cm3
Motocykl,,2 190 PLN,Bielsko-Biała,Śląskie,2014,5 400 km,Benzyna,49 cm3
Honda,VT,26 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Gdańsk,Pomorskie,2000,1 km,Benzyna,125 cm3
Honda,PCX,11 300 PLN,Tomaszów Mazowiecki,Łódzkie,2021,23 840 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,1998,1 000 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
BMW,,11 000 PLN,Kostrzyn,Wielkopolskie,Niski przebieg,2003,1 200 cm3,89 753 km
Yamaha,X-max,15 000 PLN,Zgierz,Łódzkie,Niski przebieg,2016,125 cm3,7 800 km
Harley-Davidson,Softail Breakout,108 000 PLN,Kutno,Łódzkie,2016,2 100 km,Benzyna,1 801 cm3
KTM,,19 500 PLN,Garwolin,Mazowieckie,2010,100 km,Benzyna,580 cm3
Yamaha,X-max,16 000 PLN,Gołańcz,Wielkopolskie,2018,20 000 km,Benzyna,125 cm3
Junak,125 Racer,6 400 PLN,Kraków,Małopolskie,2016,2 037 km,Benzyna,124 cm3
Benelli,TRK 502,20 700 PLN,Janów,Łódzkie,2018,9 345 km,Benzyna,500 cm3
BMW,R,57 900 PLN,Bolków,Dolnośląskie,Niski przebieg,2014,1 200 cm3,51 600 km
Husqvarna,TC,42 990 PLN,Lublin,Lubelskie,2022,1 km,Benzyna,125 cm3
Kymco,Xciting,12 999 PLN,Paczków,Opolskie,2017,26 400 km,Benzyna,400 cm3
BMW,R,74 000 PLN,Ostrów Wielkopolski,Wielkopolskie,1967,30 000 km,Benzyna,600 cm3
Motocykl,,2 190 PLN,Bielsko-Biała,Śląskie,2014,5 400 km,Benzyna,49 cm3
Honda,VT,26 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Gdańsk,Pomorskie,2000,1 km,Benzyna,125 cm3
Honda,PCX,11 300 PLN,Tomaszów Mazowiecki,Łódzkie,2021,23 840 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,1998,1 000 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
BMW,,11 000 PLN,Kostrzyn,Wielkopolskie,Niski przebieg,2003,1 200 cm3,89 753 km
Yamaha,X-max,15 000 PLN,Zgierz,Łódzkie,Niski przebieg,2016,125 cm3,7 800 km
Harley-Davidson,Softail Breakout,108 000 PLN,Kutno,Łódzkie,2016,2 100 km,Benzyna,1 801 cm3
KTM,,19 500 PLN,Garwolin,Mazowieckie,2010,100 km,Benzyna,580 cm3
Yamaha,X-max,16 000 PLN,Gołańcz,Wielkopolskie,2018,20 000 km,Benzyna,125 cm3
Junak,125 Racer,6 400 PLN,Kraków,Małopolskie,2016,2 037 km,Benzyna,124 cm3
Benelli,TRK 502,20 700 PLN,Janów,Łódzkie,2018,9 345 km,Benzyna,500 cm3
BMW,R,57 900 PLN,Bolków,Dolnośląskie,Niski przebieg,2014,1 200 cm3,51 600 km
Husqvarna,TC,42 990 PLN,Lublin,Lubelskie,2022,1 km,Benzyna,125 cm3
Kymco,Xciting,12 999 PLN,Paczków,Opolskie,2017,26 400 km,Benzyna,400 cm3
BMW,R,74 000 PLN,Ostrów Wielkopolski,Wielkopolskie,1967,30 000 km,Benzyna,600 cm3
Motocykl,,2 190 PLN,Bielsko-Biała,Śląskie,2014,5 400 km,Benzyna,49 cm3
Honda,CA,20 900 PLN,Gdańsk,Pomorskie,2000,1 km,Benzyna,125 cm3
Honda,VT,26 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,600 cm3
Honda,PCX,11 300 PLN,Tomaszów Mazowiecki,Łódzkie,2021,23 840 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,1998,1 000 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
BMW,,11 000 PLN,Kostrzyn,Wielkopolskie,Niski przebieg,2003,1 200 cm3,89 753 km
Yamaha,X-max,15 000 PLN,Zgierz,Łódzkie,Niski przebieg,2016,125 cm3,7 800 km
Harley-Davidson,Softail Breakout,108 000 PLN,Kutno,Łódzkie,2016,2 100 km,Benzyna,1 801 cm3
KTM,,19 500 PLN,Garwolin,Mazowieckie,2010,100 km,Benzyna,580 cm3
Yamaha,X-max,16 000 PLN,Gołańcz,Wielkopolskie,2018,20 000 km,Benzyna,125 cm3
Junak,125 Racer,6 400 PLN,Kraków,Małopolskie,2016,2 037 km,Benzyna,124 cm3
Benelli,TRK 502,20 700 PLN,Janów,Łódzkie,2018,9 345 km,Benzyna,500 cm3
BMW,R,57 900 PLN,Bolków,Dolnośląskie,Niski przebieg,2014,1 200 cm3,51 600 km
Husqvarna,TC,42 990 PLN,Lublin,Lubelskie,2022,1 km,Benzyna,125 cm3
Kymco,Xciting,12 999 PLN,Paczków,Opolskie,2017,26 400 km,Benzyna,400 cm3
BMW,R,74 000 PLN,Ostrów Wielkopolski,Wielkopolskie,1967,30 000 km,Benzyna,600 cm3
Motocykl,,2 190 PLN,Bielsko-Biała,Śląskie,2014,5 400 km,Benzyna,49 cm3
Honda,VT,26 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Gdańsk,Pomorskie,2000,1 km,Benzyna,125 cm3
Honda,PCX,11 300 PLN,Tomaszów Mazowiecki,Łódzkie,2021,23 840 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,1998,1 000 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
BMW,,11 000 PLN,Kostrzyn,Wielkopolskie,Niski przebieg,2003,1 200 cm3,89 753 km
Yamaha,X-max,15 000 PLN,Zgierz,Łódzkie,Niski przebieg,2016,125 cm3,7 800 km
Harley-Davidson,Softail Breakout,108 000 PLN,Kutno,Łódzkie,2016,2 100 km,Benzyna,1 801 cm3
KTM,,19 500 PLN,Garwolin,Mazowieckie,2010,100 km,Benzyna,580 cm3
Yamaha,X-max,16 000 PLN,Gołańcz,Wielkopolskie,2018,20 000 km,Benzyna,125 cm3
Junak,125 Racer,6 400 PLN,Kraków,Małopolskie,2016,2 037 km,Benzyna,124 cm3
Benelli,TRK 502,20 700 PLN,Janów,Łódzkie,2018,9 345 km,Benzyna,500 cm3
BMW,R,57 900 PLN,Bolków,Dolnośląskie,Niski przebieg,2014,1 200 cm3,51 600 km
Husqvarna,TC,42 990 PLN,Lublin,Lubelskie,2022,1 km,Benzyna,125 cm3
Kymco,Xciting,12 999 PLN,Paczków,Opolskie,2017,26 400 km,Benzyna,400 cm3
BMW,R,74 000 PLN,Ostrów Wielkopolski,Wielkopolskie,1967,30 000 km,Benzyna,600 cm3
Motocykl,,2 190 PLN,Bielsko-Biała,Śląskie,2014,5 400 km,Benzyna,49 cm3
Honda,VT,26 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Gdańsk,Pomorskie,2000,1 km,Benzyna,125 cm3
Honda,PCX,11 300 PLN,Tomaszów Mazowiecki,Łódzkie,2021,23 840 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,1998,1 000 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
BMW,,11 000 PLN,Kostrzyn,Wielkopolskie,Niski przebieg,2003,1 200 cm3,89 753 km
Yamaha,X-max,15 000 PLN,Zgierz,Łódzkie,Niski przebieg,2016,125 cm3,7 800 km
Harley-Davidson,Softail Breakout,108 000 PLN,Kutno,Łódzkie,2016,2 100 km,Benzyna,1 801 cm3
KTM,,19 500 PLN,Garwolin,Mazowieckie,2010,100 km,Benzyna,580 cm3
Yamaha,X-max,16 000 PLN,Gołańcz,Wielkopolskie,2018,20 000 km,Benzyna,125 cm3
Junak,125 Racer,6 400 PLN,Kraków,Małopolskie,2016,2 037 km,Benzyna,124 cm3
Benelli,TRK 502,20 700 PLN,Janów,Łódzkie,2018,9 345 km,Benzyna,500 cm3
BMW,R,57 900 PLN,Bolków,Dolnośląskie,Niski przebieg,2014,1 200 cm3,51 600 km
Husqvarna,TC,42 990 PLN,Lublin,Lubelskie,2022,1 km,Benzyna,125 cm3
Kymco,Xciting,12 999 PLN,Paczków,Opolskie,2017,26 400 km,Benzyna,400 cm3
BMW,R,74 000 PLN,Ostrów Wielkopolski,Wielkopolskie,1967,30 000 km,Benzyna,600 cm3
Motocykl,,2 190 PLN,Bielsko-Biała,Śląskie,2014,5 400 km,Benzyna,49 cm3
Honda,CA,20 900 PLN,Gdańsk,Pomorskie,2000,1 km,Benzyna,125 cm3
Honda,VT,26 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,600 cm3
Honda,PCX,11 300 PLN,Tomaszów Mazowiecki,Łódzkie,2021,23 840 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Kraków,Małopolskie,2000,100 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,1998,1 000 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,125 cm3
Harley-Davidson,Touring Street Glide,66 700 PLN,Kraków,Małopolskie,2014,30 126 km,Benzyna,1 690 cm3
BMW,K,42 700 PLN,Mielec,Podkarpackie,2012,47 000 km,Benzyna,1 600 cm3
Honda,CA,20 900 PLN,Warszawa,Mazowieckie,2000,1 000 km,Benzyna,125 cm3
Honda,VT,25 000 PLN,Warszawa,Mazowieckie,2000,100 km,Benzyna,125 cm3
Yamaha,Grizzly,43 500 PLN,Warszawa,Mazowieckie,Niski przebieg,2008,558 cm3,1 404 km
Victory,,45 900 PLN,Mielec,Podkarpackie,2014,14 000 km,Benzyna,1 800 cm3
Yamaha,Raider,45 000 PLN,Jarosław,Podkarpackie,Niski przebieg,2009,1 854 cm3,30 000 km
Honda,VT,26 000 PLN,Wrocław,Dolnośląskie,2000,1 km,Benzyna,600 cm3
Honda,CA,20 900 PLN,Kraków,Małopolskie,2000,1 km,Benzyna,125 cm3
Piaggio,MP-3,18 200 PLN,Rzeszów,Podkarpackie,2014,28 000 km,Benzyna,500 cm3
Yamaha,MT,34 000 PLN,Chorzów,Śląskie,2018,11 700 km,Benzyna,850 cm3
BMW,R,25 000 PLN,Poznań,Wielkopolskie,2011,171 000 km,Benzyna,1 170 cm3
Yamaha,Virago,12 500 PLN,Warszawa,Mazowieckie,1994,70 000 km,Benzyna,1 100 cm3
Honda,Shadow,19 900 PLN,Dąbrowa Górnicza,Śląskie,2000,7 000 km,Benzyna,125 cm3
